# sample    efficiency-5j/4j      efficiency3dcut
#  el
ttag	0.664758264737	0.600261540412
wj	0.339080863734	0.160009113016
ttqq	0.367494002461	0.631908205162
st	0.397005279087	0.515117282006
dy	0.36942432232	0.176465982645
ttqg	0.642634184151	0.573969129549
data	0.501233962322	0.498553472583
ttgg	0.55394344496	0.609796428825
#  mu
ttag	0.655389315978	0.503732267932
wj	0.334915607468	0.131239935712
ttqq	0.362334223665	0.529672658823
st	0.388092168654	0.426181857119
dy	0.360489577042	0.115332167211
ttqg	0.639286430608	0.482091994948
data	0.502274056935	0.436796141509
ttgg	0.54817651299	0.511125177144
